city,team,team_name,year,total,home,away,week,weekly_attendance
Arizona,Arizona,Cardinals,2000,893926,387475,506451,1,77434
Arizona,Arizona,Cardinals,2000,893926,387475,506451,2,66009
Arizona,Arizona,Cardinals,2000,893926,387475,506451,3,NA
Arizona,Arizona,Cardinals,2000,893926,387475,506451,4,71801
Arizona,Arizona,Cardinals,2000,893926,387475,506451,5,66985
Arizona,Arizona,Cardinals,2000,893926,387475,506451,6,44296
Arizona,Arizona,Cardinals,2000,893926,387475,506451,7,38293
Arizona,Arizona,Cardinals,2000,893926,387475,506451,8,62981
Arizona,Arizona,Cardinals,2000,893926,387475,506451,9,35286
Arizona,Arizona,Cardinals,2000,893926,387475,506451,10,52244
Arizona,Arizona,Cardinals,2000,893926,387475,506451,11,64223
Arizona,Arizona,Cardinals,2000,893926,387475,506451,12,65356
Arizona,Arizona,Cardinals,2000,893926,387475,506451,13,42094
Arizona,Arizona,Cardinals,2000,893926,387475,506451,14,50289
Arizona,Arizona,Cardinals,2000,893926,387475,506451,15,53472
Arizona,Arizona,Cardinals,2000,893926,387475,506451,16,37452
Arizona,Arizona,Cardinals,2000,893926,387475,506451,17,65711
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,1,54626
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,2,75466
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,3,73025
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,4,58761
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,5,65424
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,6,50947
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,7,66019
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,8,56508
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,9,46178
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,10,70097
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,11,74309
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,12,67447
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,13,55175
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,14,44680
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,15,NA
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,16,64900
Atlanta,Atlanta,Falcons,2000,964579,422814,541765,17,41017
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,1,55049
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,2,68843
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,3,73464
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,4,68481
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,5,73018
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,6,65194
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,7,83252
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,8,69200
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,9,69405
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,10,54759
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,11,68490
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,12,69416
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,13,68361
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,14,NA
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,15,68805
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,16,37452
Baltimore,Baltimore,Ravens,2000,1062373,551695,510678,17,69184
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,1,72492
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,2,77722
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,3,77884
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,4,NA
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,5,72617
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,6,73901
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,7,72351
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,8,64116
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,9,72861
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,10,60292
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,11,72420
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,12,78457
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,13,65546
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,14,73002
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,15,56671
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,16,47230
Buffalo,Buffalo,Bills,2000,1098587,560695,537892,17,61025
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,1,80257
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,2,66879
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,3,73025
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,4,NA
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,5,73310
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,6,72192
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,7,50015
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,8,73169
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,9,46178
Charlotte,Carolina,Panthers,2000,1095192,583489,511703,10,66048
